gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1.1472455517036226,-0.3953564805999008,-0.7829536179670946,-0.5186983555559203,0.28980998505460026,-2.901296246333264,-1.2205015608963292,-0.6622954692299787,-0.1751543410855318,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0
1.1472455517036226,-0.3953564805999008,1.2772148656729592,1.927902776804141,-0.5429900483685192,0.3446735235203324,-1.2205015608963292,0.23870878213743146,-0.42497150457541183,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
1.1472455517036226,-0.3953564805999008,1.2772148656729592,1.927902776804141,-0.6262700517108312,-2.901296246333264,-1.2205015608963292,-0.9632100165013342,-0.679829516119714,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,0
-0.871652976570737,-0.3953564805999008,1.2772148656729592,-0.5186983555559203,-0.0849500299858035,0.3446735235203324,0.8193352897194216,0.1830482878444642,-0.08248902167067998,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,0
1.1472455517036226,-0.3953564805999008,1.2772148656729592,1.927902776804141,-1.1259500717647029,0.3446735235203324,-1.2205015608963292,-0.8240587807689156,-0.9276939186515745,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1.1472455517036226,-0.3953564805999008,-0.7829536179670946,1.927902776804141,1.5806500368604355,0.3446735235203324,0.8193352897194216,0.3917751414430921,1.4117818286239956,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0
-0.871652976570737,-0.3953564805999008,-0.7829536179670946,-0.5186983555559203,-1.1259500717647029,0.3446735235203324,-1.2205015608963292,-1.6850570518632557,-0.9389336474215699,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,0
-0.871652976570737,-0.3953564805999008,1.2772148656729592,-0.5186983555559203,0.4980099934103801,0.3446735235203324,-1.2205015608963292,-0.40486568312500437,0.13249633589359766,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0
-0.871652976570737,-0.3953564805999008,1.2772148656729592,-0.5186983555559203,1.5390100351892795,0.3446735235203324,0.8193352897194216,-0.2935446945390696,0.7814941696390756,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,0
-0.871652976570737,-0.3953564805999008,-0.7829536179670946,-0.5186983555559203,1.3308100268334995,0.3446735235203324,-1.2205015608963292,0.4283023408228519,1.2532675931829074,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,0
